Rank,Distributor,MarketShare,TotalGross,MoviesTracked,2005Movies
72,First Independent Pictures,0.0,176k,1,1
73,Lange Releasing,0.0,165k,1,1
74,Ariztical Entertainment,0.0,155k,1,1
75,Geneon Entertainment,0.0,129k,1,1
76,Emerging Pictures,0.0,124k,1,1
77,Matson Films,0.0,121k,1,1
78,Cinema Libre Studio,0.0,114k,4,3
79,Cinema Libre,0.0,114k,4,3
80,Koch Lorber Films,0.0,109k,3,3
81,Illuminare Entertainment,0.0,103k,2,2
82,International Film Circuit,0.0,98.4k,1,1
83,Lovett Releasing,0.0,89.3k,1,1
84,Meadowbrook Pictures,0.0,79.6k,1,1
85,Goodbye Cruel Releasing,0.0,77.1k,1,1
86,Avatar,0.0,76.0k,2,1
87,Maxmedia/Endgame Pictures,0.0,73.7k,1,0
88,Innovation Film Group,0.0,72.8k,1,1
89,Cineville,0.0,72.4k,2,2
90,Jour de Fete,0.0,72.1k,1,1
91,California Newsreel,0.0,68.2k,1,1
92,Kria Inc.,0.0,64.1k,3,3
93,Wolfe Releasing,0.0,53.4k,3,2
94,Economic Projections,0.0,49.0k,1,1
95,Slippery Chicken Pictures,0.0,47.2k,1,1
96,Five Sisters,0.0,46.8k,1,0
97,Painted Zebra Releasing,0.0,46.0k,1,0
98,Echo Bridge Entertainment,0.0,45.0k,1,1
99,Laemmle / Zeller Films,0.0,42.5k,2,2
100,Castle Hill,0.0,37.3k,7,6
101,Artistic License,0.0,35.0k,2,2
102,Fader Films,0.0,34.9k,1,1
103,Film Movement,0.0,34.8k,1,1
104,Viz Media,0.0,34.4k,1,1
105,RBC Radio,0.0,34.3k,1,0
106,Rainbow Releasing,0.0,31.9k,1,1
107,Icarus Films,0.0,29.5k,4,3
108,Balcony Releasing,0.0,29.3k,2,2
109,Menemsha,0.0,26.7k,1,1
110,Pillen's Farm Pictures,0.0,25.2k,1,1
111,Embrem Entertainment,0.0,21.5k,1,1
112,7th Art,0.0,20.1k,3,3
113,Arab Film Dist.,0.0,18.8k,4,4
114,Fabrication Films,0.0,16.8k,1,1
115,Lifesize,0.0,15.2k,2,2
116,Cockeyed Caravan,0.0,14.8k,1,1
117,High Cotton Films,0.0,12.0k,1,1
118,Psychic Girls LLC,0.0,11.1k,1,1
119,Dada Films,0.0,11.0k,1,0
120,Silver Plane Films,0.0,10.6k,1,1
121,Dinsdale Releasing,0.0,10.3k,1,1
122,Margin,0.0,10.2k,1,1
123,Artmattan Prods.,0.0,9.4k,3,1
124,Filmmates Corp.,0.0,9.1k,1,1
125,Rumur Releasing,0.0,8.0k,1,1
126,Unico Entertainment,0.0,6.5k,1,1
127,Atopia,0.0,5.3k,1,0
128,Big Fat Movies,0.0,4.7k,1,1
129,Minority Films,0.0,4.3k,1,1
130,Romar Entertainment,0.0,3.7k,1,1
131,HB Filmworks,0.0,3.3k,1,1
132,Rogue Arts,0.0,2.8k,1,1
133,Hummingbird Pictures,0.0,2.2k,1,1
134,Lumiere Productions,0.0,1.9k,1,1
135,Leisure Time,0.0,1.9k,1,1
136,Ent. Highway,0.0,0.6k,1,1
137,Unknown,0.0,0.4k,1,1
